datum_angelegt_am;angebot_nr;kunde;pb;anzahl_teile;anzahl_jahresbedarfe;bearbeitet_von;zeit_datum_angefragt_am;zeit_datum_angebot_bis;tracking_abgabe_termin;zukaufteile_ext_bearbeitung_erforderlich;prio;zeit_datum_berechnung_vorhanden;zeit_datum_hsb_vorhanden;zeit_datum_zukaufteile_angefragt;zeit_datum_ext_bearbeitung_angefragt;zeit_datum_zukaufteile_angebot_vorhanden;zeit_datum_ext_bearbeitung_angebot_vorhanden;zeit_datum_kalk_erstellt;zeit_datum_angebot_abgegeben;status_bearbeitung;freigegeben_von
2017-05-10;05/0151/17;ZF FRIEDRICHSHAFEN AG | D | SCHWEINFURT;BRA-AS;3;3;Schnaubelt, Niels;2017-05-08;2017-05-12;54;1;1;2017-05-15;2017-05-15;\N;2017-05-15;\N;2017-05-24;2017-05-31;\N;offen;
2017-06-26;06/0214/17;VALEO S.P.A. | I | SANTENA (TO);BRA-AS;1;8;Schulze-Dasbeck, Andrea;2017-06-26;2017-06-29;6;0;1;2017-06-26;2017-06-26;\N;\N;\N;\N;2017-06-28;\N;offen;
2017-05-22;05/0167/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;1;1;Hemmann, Patrick;2017-05-22;2017-05-30;36;1;1;2017-06-12;2017-06-12;\N;2017-05-22;\N;2017-06-12;2017-07-04;\N;offen;
2017-06-26;05/0157/17;Litens Automotive | CN | Suzhou;BKC-AS;1;2;Schulze-Dasbeck, Andrea;2017-06-26;2017-06-29;6;0;1;2017-05-17;\N;\N;\N;\N;\N;2017-06-29;\N;offen;
2017-06-22;06/0209/17;ZF FRIEDRICHSHAFEN AG | D | SCHWEINFURT;BRA-AS;1;1;Pink, Alina;2017-06-22;2017-06-30;5;1;1;2017-06-30;2017-06-30;\N;\N;\N;\N;\N;\N;offen;
2017-06-06;02/3008/16;ZF FRIEDRICHSHAFEN AG | D | SCHWEINFURT;BRA-AS;2;2;Pink, Alina;2017-06-06;2017-06-07;28;0;2;2017-06-07;2017-06-07;\N;\N;\N;\N;\N;\N;offen;
2017-04-05;04/0099/17;ZF FRIEDRICHSHAFEN AG | D | SCHWEINFURT Slovakia;BRA-AS;5;5;Schnaubelt, Niels;2017-04-05;2017-04-12;84;1;2;2017-04-19;2017-04-19;\N;2017-04-24;\N;2017-04-25;\N;\N;offen;
2017-06-08;06/0190/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;2;2;Pink, Alina;2017-06-01;2017-06-08;27;0;2;2017-06-09;2017-06-09;\N;\N;\N;\N;2017-06-09;\N;offen;
2017-05-11;05/0113/17;SCHAEFFLER (UK) LTD. | GB | MIDLANDS;BRA-AS;1;1;Hemmann, Patrick;2017-05-10;2017-05-17;49;0;2;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-06-22;06/0208/17;LITENS AUTOMOTIVE GMBH | D | GELNHAUSEN;BRA-AS;1;1;Schulze-Dasbeck, Andrea;2017-06-22;2017-07-05;0;0;2;\N;\N;\N;\N;\N;\N;\N;\N;offen;
